SourceFileId,TripEndTime,VehicleId,TripDistance,DriveFuel,DriveFuelEconomy,DistanceAvgLoadFactor,Drivetime,StopIdleTime,StopIdleFuel,StopIdlePercent,BrakeCount,HardBrakeCount,EngineBraketime,CruiseTime,OverSpeedAtime,OverSpeedBtime,EngineFantime,TopGearDistance,TopGearMinusOneDistance,DistanceAvgvehiclespeed
40206,10/2/2040,255,5788.6,865.25,6.69,0.44,413496,271728,32.75,0.37,2707,1,2886012,100368,4572,216,161568,4915.2,516.5,50.4
40706,11/13/2017,268,11564.1,1727.25,6.7,0.48,711396,149832,16.88,0.17,3621,4,118116,484560,36252,5184,565596,10868.6,312,58.52
28422,8/19/2016,279,101187.6,15097.37,6.7,0.45,6793488,2469348,246.75,0.25,44655,18,102924,4527792,161424,30276,5650020,91132.5,4752.8,53.62
39403,2/22/2017,254,10660.1,1589.63,6.71,0.46,686556,124632,11.5,0.14,4225,1,218556,431352,7380,252,499248,10061,265.4,55.9
39383,2/20/2017,257,26456.7,3945.63,6.71,0.47,1755576,843516,78.88,0.31,8732,2,336240,759204,26460,324,1005768,23456.1,1931.8,54.25
40681,10/23/2017,260,5948.9,886.38,6.71,0.48,356976,39492,3.75,0.1,1405,4,302616,249336,16632,1620,354348,5698.6,115.2,59.99
40619,9/14/2017,260,10360.4,1544.88,6.71,0.47,639252,370332,35.88,0.36,3358,3,288144,343728,27756,2124,948636,9784.6,266.4,58.35
40634,10/1/2017,260,6744.6,1003.25,6.72,0.47,411264,72468,7.63,0.14,2232,4,295812,258084,20952,1728,467316,6382.5,166.1,59.04
40181,5/15/2017,280,22241.4,3311.5,6.72,0.49,1342188,381204,34.5,0.21,6980,3,506736,893556,768384,21780,725256,21092.8,538.4,59.66
40579,7/27/2017,280,9926.3,1477.88,6.72,0.49,601344,233604,25,0.27,2946,3,539820,423288,337140,8244,697176,9430.8,234.8,59.42
40593,8/25/2017,274,5601.8,833.88,6.72,0.49,332640,212508,18.5,0.38,1702,4,218016,177300,215856,5004,425304,5302.3,117.2,60.63
28653,10/3/2016,257,12352,1834.5,6.73,0.46,815256,510984,58.25,0.37,4782,1,228888,300204,21852,288,1084464,11149.7,684.2,54.54
28125,10/3/2016,257,12352,1834.5,6.73,0.46,815246,510997,58.25,0.37,4782,1,228899,300205,21840,273,1084448,11149.7,684.2,54.54
40575,7/16/2017,253,2189.2,325.5,6.73,0.47,143496,114840,10.25,0.42,2141,2,105336,51660,51840,4716,250128,122.9,34.8,54.92
40652,10/8/2017,247,6979.1,1035.88,6.74,0.48,423972,89964,14.75,0.17,1681,0,301176,149976,204444,13176,180108,6302.7,412.3,59.26
28655,10/4/2016,279,116123.8,17217.38,6.74,0.45,7774992,2824920,282.13,0.25,51035,23,117936,5226048,187380,34524,6827220,104835.7,5287.3,53.77
40615,9/13/2017,279,4774.4,708.25,6.74,0.49,293760,83448,7.88,0.21,1780,8,195408,208332,18252,504,352944,4624.7,50.3,58.51
39480,3/10/2017,280,7063.7,1046.88,6.75,0.49,423324,180000,16,0.29,1852,0,474624,303876,263880,8136,222048,6744.7,156.3,60.07
40747,12/24/2017,276,2064.6,305.88,6.75,0.47,134388,70344,4.88,0.33,1035,0,954972,6588,3960,180,72792,1941.3,41.4,55.31
40712,11/26/2017,267,6190.2,917.25,6.75,0.48,381636,97344,8.5,0.19,1422,3,1094112,127836,145368,1476,43704,5802.8,157.6,58.39
40641,10/2/2017,259,10348.6,1533.75,6.75,0.43,693576,522936,58.5,0.4,4546,6,92988,255132,147024,35712,1095264,9348.4,411.8,53.71
39381,2/19/2017,280,40932.3,6055.38,6.76,0.49,2501496,1409976,132.63,0.35,12769,16,466632,1525104,1345968,29736,1905228,38636.7,1142.2,58.91
28423,8/19/2016,280,269741.1,39896.5,6.76,0.49,16750044,4221864,487.38,0.19,90699,115,389052,10599912,6440976,157464,10594476,253937.3,7926.6,57.97
28429,8/21/2016,280,269741.3,39896.63,6.76,0.49,16750152,4221864,487.38,0.19,90704,115,389052,10599912,6440976,157464,10594548,253937.3,7926.6,57.97
28433,8/21/2016,268,131933.5,19480.87,6.77,0.47,8304156,3813048,499.63,0.3,48664,39,64476,5178600,384012,52128,7653456,121863.4,4705.9,57.2
40545,7/9/2017,282,13141.1,1940.38,6.77,0.46,846684,398052,33.5,0.31,3511,3,290052,482508,29484,684,933192,12430.2,292.1,55.87
40585,8/13/2017,284,4604.9,679.5,6.78,0.45,302904,242172,21,0.43,1189,0,120168,164232,3168,144,253440,4333.9,117.2,54.73
40698,11/12/2017,262,2466.7,364,6.78,0.49,151020,45900,3.5,0.22,535,1,480636,99756,3744,36,84816,2353.4,49.8,58.8
39368,2/17/2017,264,35865.5,5291.5,6.78,0.45,2319732,1523988,142.88,0.38,13610,24,51048,1739880,60120,5688,1039788,33882.1,725,55.66
39652,3/24/2017,247,32403.7,4777.63,6.78,0.47,2048076,1252656,117.13,0.37,7363,4,215712,1336860,92016,11520,55044,29644.7,1404.3,56.96
40231,4/19/2000,253,51552.8,7603,6.78,0.49,3087900,3633696,276.75,0.53,18767,55,102636,121680,797688,987372,3832992,1634.3,717.4,60.1
28679,10/14/2016,254,13023.8,1920.5,6.78,0.44,871272,398988,39.75,0.3,7103,3,205272,426276,21276,3528,1194516,11608.5,670.8,53.81
27937,8/23/2016,256,172664.2,25394.37,6.8,0.45,11391978,11269428,927,0.48,61317,92,3456828,6286824,168376,12139,26749,159141,6444.3,54.56
28443,8/23/2016,256,172664.2,25394.37,6.8,0.45,11391984,11269440,927,0.48,61317,92,3456828,6286824,168372,12132,26748,159141,6444.3,54.56
27932,8/21/2016,247,61344.9,9025.25,6.8,0.47,3960793,1597560,161.5,0.28,16363,65,117571,2389926,157071,20473,3543598,55721.2,2744.7,55.76
